Subgroup,Date,Ethanol,EthyleneGlycol,Water
1,8/4/2011,22.3,49.1,72.6
1,8/5/2011,22.1,49.1,72.2
1,8/8/2011,22.3,49.4,72.4
1,8/9/2011,22.5,49.5,72.7
1,8/10/2011,22.5,49.4,72.6
2,8/11/2011,22.5,49.4,72.8
2,8/12/2011,22.4,49.3,72.2
2,8/15/2011,22.6,49.4,71.9
2,8/16/2011,22.3,49.2,72.2
2,8/17/2011,22.4,49.3,72.4
3,8/18/2011,22.5,49.2,72.4
3,8/19/2011,22.5,49.5,72.4
3,8/22/2011,22.7,49.5,72.9
3,8/23/2011,22.4,49.3,72.5
3,8/24/2011,22.1,49.5,72.6
4,8/25/2011,22.2,49.2,72.6
4,8/26/2011,22.2,49.6,72.8
4,8/29/2011,22.6,49.4,73.1
4,8/30/2011,22.6,49.2,73.2
4,8/31/2011,22.6,49.2,72.6
5,9/1/2011,22.5,49.7,72.4
5,9/2/2011,22.3,49.6,72.3
5,9/6/2011,22.2,49.2,73
5,9/7/2011,22.4,49.1,72.7
5,9/8/2011,22.4,49.1,72.9
6,9/9/2011,22.4,49.2,72.6
6,9/12/2011,22.3,49.4,72.8
6,9/13/2011,22.5,49.3,72.5
6,9/14/2011,22.3,49.2,72.5
6,9/15/2011,22.4,49.3,72.4
7,9/16/2011,22.5,49.4,72.5
7,9/19/2011,22.4,49.2,72.3
7,9/20/2011,22.3,49.4,72.5
7,9/21/2011,22.4,49.7,72.4
7,9/22/2011,22.5,49.5,72.7
8,9/23/2011,22.4,49.3,73
8,9/26/2011,22.4,49.3,72.3
8,9/27/2011,22.3,49.5,72.6
8,9/28/2011,22.4,49.3,72.3
8,9/29/2011,22.3,49.3,72.6
9,9/30/2011,22.6,49.4,72.4
9,10/3/2011,22.6,49.3,72.3
9,10/4/2011,22.7,49.4,72.4
9,10/5/2011,22.7,49.3,72.4
9,10/6/2011,22.4,49.2,72.2
10,10/7/2011,22.5,49.4,72.4
10,10/10/2011,22.4,49.5,72.5
10,10/11/2011,22.4,49.5,72.6
10,10/12/2011,22.5,49.5,72.6
10,10/13/2011,22.6,49.6,72.7
11,10/14/2011,22.6,49.4,72.7
11,10/17/2011,22.5,49.4,72.5
11,10/18/2011,22.1,49.4,72.4
11,10/19/2011,22.4,49.5,72.3
11,10/20/2011,22.4,49.4,72.4
12,10/21/2011,22.5,49.5,72.5
12,10/24/2011,22.3,49.4,72.3
12,10/25/2011,22.4,49.1,72.2
12,10/26/2011,22.4,49.3,72.5
12,10/27/2011,22.2,49.4,72.3
13,10/28/2011,22.4,49.5,72.5
13,10/31/2011,22.4,49.4,72.4
13,11/1/2011,22.3,49.5,72.6
13,11/2/2011,22.5,49.1,72.4
13,11/3/2011,22.4,49.1,72.3
14,11/4/2011,22.4,49.2,72.6
14,11/7/2011,22.2,49.1,72.3
14,11/8/2011,22.5,49.3,72.6
14,11/9/2011,22.4,49.5,72.5
14,11/10/2011,22.4,49.2,72.4
15,11/11/2011,22.4,49.3,72.6
15,11/14/2011,22.6,49.2,72.4
15,11/15/2011,22.4,49.4,72.5
15,11/16/2011,22.3,49.1,72.4
15,11/17/2011,22.3,49,72.5
16,11/18/2011,22.4,49.2,72.4
16,11/21/2011,22.3,49,72.6
16,11/22/2011,22.1,49,72.4
16,11/23/2011,22.3,49.3,72.3
16,11/28/2011,22.1,49,71.9
17,11/29/2011,22.1,49,72
17,11/30/2011,22.2,49.3,72.3
17,12/1/2011,22.3,49.2,72.5
17,12/2/2011,22.2,49.1,72.4
17,12/5/2011,22.2,49,72.3
18,12/6/2011,22.3,49.1,72.2
18,12/7/2011,22.3,49.3,72.3
18,12/8/2011,22.3,49.2,72.2
18,12/9/2011,22.1,49.1,72.3
18,12/12/2011,22.3,49.3,72.4
19,12/13/2011,22.2,49.1,72.2
19,12/14/2011,22.5,49.3,72.5
19,12/15/2011,22.5,49.4,72.4
19,12/16/2011,22.6,49.5,72.4
19,12/19/2011,22.5,49.5,72.6
20,12/20/2011,22.2,49.2,72.8
20,12/21/2011,22.4,49.4,72.4
20,12/22/2011,22.2,49.2,72.6
20,12/27/2011,22.2,49.3,72.8
20,12/28/2011,22.2,49.2,72.9
